material_id,Formula,Amorphization Enthalpy
mp-29250,Li6VCl8,0.0806881648571429
mp-1211124,Li6NiCl8,0.0794399966666668
mp-29985,LiNb6Cl19,0.161634586826924
mp-1190761,NaGaCl4,0.0409509057598036
mp-29432,NaScCl4,0.0750067745588234
mp-616461,Na2ZnCl4,0.0742415943809522
mp-23363,NaAlCl4,0.0314638456372549
mp-28947,NaSn2Cl5,0.0312146624038458
mp-28178,NaNbCl6,0.0495136610096161
mp-28179,NaTaCl6,0.0537644947596156
mp-1189516,Na3ScCl6,0.0589819754999992
mp-23503,Na3InCl6,0.0744722904000001
mp-31362,Na3YCl6,0.0689263473000006
mp-28177,NaSbCl6,0.104424412836539
mp-1210184,Na6MgCl8,0.0894804052380951
mp-27125,Na6MnCl8,0.111607374666666
mp-568785,NaAl3NiCl12,0.0662390380392162
mp-1200510,NaAl6Sb7(TeCl3)8,0.12616436231884
mp-27207,K2MgCl4,0.0312958897142859
mp-542463,Mg(AlCl4)2,0.050536313181818
mp-2212965,KAlCl4,0.0439054062990194
mp-27755,KAlCl4,0.0439054062990194
mp-573751,AlTeCl7,0.0487019171296295
mp-568443,Al2VCl8,0.0726759371818186
mp-570703,Ca(AlCl4)2,0.0523413227727274
mp-568916,K6InTe4Cl,0.137577504537037
mp-1211643,KCaCl3,0.0766418244000002
mp-1205604,KVCl3,0.1093550324
mp-567530,KMnCl3,0.0419552822
mp-569952,K2CuCl3,0.0436210004166662
mp-998613,KGeCl3,0.0407587622999999
mp-653633,K2ZnCl4,0.0545727412976191
mp-23515,K2CoCl4,0.0943108477380954
mp-30219,KGaCl4,0.044432288357843
mp-1201545,K2LaCl5,0.0716041366105769
mp-27241,K2SbCl5,0.0368580917548078
mp-23539,KSn2Cl5,0.0382498228846155
mp-1211533,K2YCl5,0.0642017754086535
mp-27839,K2TiCl6,0.0771666255555559
mp-1211377,KSbCl6,0.118793732692307
mp-569132,K3InCl6,0.0873414408
mp-27304,K2MnCl6,0.157287223611111
mp-2205912,KNbCl6,0.0779283449038459
mp-675801,KNbCl6,0.0779283449038459
mp-1211251,KTaCl6,0.0341853720673075
mp-571453,K2SnCl6,0.160510155740741
mp-569149,K2TeCl6,0.110922257129629
mp-1196072,K3ScCl6,0.0738897709000002
mp-1205449,K3TiCl6,0.0693650338
mp-1211540,KY2Cl7,0.0663056532499997
mp-1192824,KNb2Cl11,0.0408993408928575
mp-782047,Ca9La5Cl33,0.0109511207801409
mp-540997,FeTeCl7,0.121896521851852
mp-580999,Ga2NiCl8,0.0622244808181818
mp-29362,GaCuCl4,0.0431729101470588
mp-27735,GaSbCl6,0.0228717058653847
mp-27449,GaTeCl,0.202017909901961
mp-569684,Zr(TeCl6)2,0.0844972168412701
mp-504630,InTeCl,0.124266628529412
mp-1103189,LaTeCl,0.148293107156863
mp-976280,LiBr,0.0766149475
mp-22916,NaBr,0.0799094081999998
mp-30034,MgBr2,0.107616490392157
mp-23288,AlBr3,0.0238218815
mp-570285,SiBr4,0.1569967854
mp-23251,KBr,0.0852362184999995
mp-22888,CaBr2,0.0718688934313732
mp-1186984,ScBr3,0.04818302275
mp-27785,TiBr2,0.0496970763725484
mp-28214,TiBr3,0.0769151411499998
mp-971787,VBr2,0.156791323823529
mp-23232,FeBr3,0.0721405345499999
mp-27637,NiBr2,0.183007918921569
mp-2360071,CuBr2,0.0852459383333333
mp-647579,ZnBr2,0.061287492904412
mp-30953,GaBr3,0.103446024425001
mp-541610,GeBr2,0.0395417760049019
mp-754815,YBr3,0.105034789
mp-1207486,ZrBr4,0.0403043200999997
mp-570219,InBr3,0.07733143455
mp-29862,SnBr2,0.032467312254902
mp-23216,SnBr4,0.1248326715
mp-570005,SbBr3,0.0171207092999999
mp-1208424,TeBr4,0.1418492271
mp-1212517,HfBr4,0.0185433368499996
mp-568846,TaBr5,0.130086550049019
mp-23263,LaBr3,0.0713417590000001
mp-1211043,LiFeBr4,0.0890135293872549
mp-568896,La(AlBr4)3,0.0666767018154757
mp-28672,Zr2TeBr12,0.124115737523809
mp-28038,NbTeBr3,0.1450874042
mp-29236,InTeBr,0.154803868872549
mp-29716,TaTeBr9,0.0819366341818184
mp-1198669,La3Te4Br,0.143011488100962
mp-570935,LiI,0.0817871072999998
mp-23268,NaI,0.0908945437999997
mp-23205,MgI2,0.082232555
mp-30930,AlI3,0.0881411602500002
mp-635441,SiI4,0.15300463375
mp-22898,KI,0.0919488942000002
mp-30031,CaI2,0.122110173137255
mp-1186991,ScI3,0.0371215772500002
mp-23264,TiI3,0.144510152375
mp-541013,TiI4,0.1115945156
mp-1018138,VI2,0.154680421372548
mp-865493,VI3,0.0441625675999999
mp-571122,FeI2,-0.0068338811764707
mp-27638,NiI2,0.126724631666666
mp-570081,CuI,0.0629885094000002
mp-30954,GaI3,0.1176384399
mp-27922,GeI2,0.0849478080065365
mp-571442,YI3,0.11414463215
mp-571235,ZrI4,0.0859079025333331
mp-569578,NbI5,0.110464815196079
mp-567789,InI3,0.147229418275
mp-27194,SnI2,0.0418349815686274
mp-23182,SnI4,0.0911646878500001
mp-23281,SbI3,0.11761321195
mp-570884,TeI4,0.0753090990500001
mp-569059,HfI4,0.0574773773999997
mp-570679,TaI5,0.142269675833333
mp-27979,LaI3,0.0821059224000003
mp-541001,LiInI4,0.0803468940686276
mp-567967,LiGaI4,0.119611666544117
mp-29407,AlTeI7,0.0710452653703704
mp-1214080,Ca3SbI3,0.153410185738096
mp-29403,GaCuI4,0.10643483
mp-29541,GaTeI7,0.120519365277778
mp-505088,NbTe4I,0.196217198982843
mp-29234,InTeI,0.166512977009804
