System,material_id,E per atom above ground state,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber
CaF2,mp-2741,0.1051083546078439,5.0,39.925,3,1661.0,0.8755555555555556,1.0,0.6666666666666666,13.986330735270302,0.6666666666666666,210.0
ScF3,mp-1078300,0.1331299129999994,5.0,,4,1660.0,0.73875,1.0,3.0,16.38271790930214,0.75,179.0
TiF3,mp-246,0.1583153384500004,5.0,46.547,4,1707.0,0.73875,1.0,2.75,15.05576360208292,0.75,179.0
TiF4,mp-28974,0.0344658789666665,5.0,,5,1679.0,0.6304,1.0,2.4,13.698023757305007,0.8,179.0
VF4,mp-554799,0.0530069510999995,5.0,,5,1471.0,0.6304,1.0,2.2,12.50180304090244,0.8,214.0
VF3,mp-559931,0.1887373396999994,5.0,,4,1683.0,0.73875,1.0,2.5,12.395001342232684,0.75,214.0
VF5,mp-27309,0.0029017942769611,5.0,,6,328.0,0.5472222222222222,1.0,2.0,13.393598478420584,0.8333333333333334,214.0
MnF2,mp-560902,0.140915150392157,5.0,,3,1419.0,0.8755555555555556,1.0,2.333333333333333,13.101949362460068,0.6666666666666666,202.0
MnF3,mp-556560,0.1118636581499998,5.0,,4,1438.0,0.73875,1.0,2.0,14.250802056253368,0.75,202.0
FeF2,mp-556911,0.1883681852941165,5.0,,3,1102.0,0.8755555555555556,1.0,2.0,12.027098086269088,0.6666666666666666,214.0
FeF3,mp-22398,0.1647234575,5.0,,4,1066.0,0.73875,1.0,1.75,12.282130780602069,0.75,214.0
CoF2,mp-555908,0.2646644628431378,5.0,,3,1121.0,0.8755555555555556,1.0,1.6666666666666667,11.496876808915845,0.6666666666666666,179.0
ZnF2,mp-1873,0.0941785271568624,5.0,39.318,3,1098.0,0.8755555555555556,1.0,0.6666666666666666,11.54871254201592,0.6666666666666666,179.0
GaF3,mp-588,0.1329674565000003,5.0,,4,1382.0,0.73875,1.0,2.0,11.441639545040392,2.0,49.0
GeF4,mp-9816,0.0041018451000001,5.0,,5,316.0,0.50784,1.0,1.6,14.989051306340643,1.6,210.0
YF3,mp-2416,0.0718914872500002,5.0,,4,1550.0,0.73875,1.0,3.0,11.922537438066488,0.75,179.0
ZrF4,mp-1105223,0.0736848627000004,5.0,,5,1198.0,0.6304,1.0,2.4,11.984537693127548,0.8,179.0
NbF5,mp-18687,0.0256990214460781,5.0,,6,1194.0,0.5472222222222222,1.0,2.0,13.919597240024466,0.8333333333333334,214.0
MoF6,mp-557259,0.0296267804047616,5.0,,7,330.0,0.4824489795918367,1.0,1.7142857142857142,13.980326265042306,0.8571428571428571,214.0
InF3,mp-6949,0.0852966776999997,5.0,,4,1411.0,0.73875,1.0,2.0,14.38875236481637,2.0,124.0
SnF2,mp-2843,0.0404177248284307,5.0,,3,664.0,0.8755555555555556,1.0,2.0,17.277471199537654,2.0,126.0
SnF4,mp-2706,0.0530223722000009,5.0,43.547,5,944.0,0.6304,1.0,1.6,12.922407992665049,1.6,126.0
SbF3,mp-1880,0.0572192605500001,5.0,8.464,4,601.0,0.73875,1.0,1.5,15.655091160224632,1.5,151.0
SbF5,mp-1341935,0.001811183186275,5.0,,6,623.0,0.5472222222222222,1.0,1.3333333333333333,15.01505273661676,1.3333333333333333,151.0
TeF6,mp-1875,0.0830008441666665,5.0,,7,615.0,0.3688163265306122,1.0,1.1428571428571428,14.434859783368628,1.1428571428571428,137.0
TeF4,mp-561664,0.039941045199999,5.0,8.383,5,611.0,0.48192,1.0,1.2,15.206227369958388,1.2,137.0
HfF4,mp-31033,0.0708099433333329,5.0,,5,1793.0,0.6304,1.0,2.4,11.815781141092936,0.8,179.0
TaF5,mp-561197,0.0336538107843136,5.0,,6,469.0,0.5472222222222222,1.0,2.0,13.742517747348272,0.8333333333333334,214.0
WF6,mp-555003,0.0085949062857144,5.0,,7,399.0,0.4824489795918367,1.0,1.7142857142857142,14.202592377640302,0.8571428571428571,214.0
LaF3,mp-905,0.0833755074999986,5.0,,4,1677.0,0.73875,1.0,3.0,13.590219795030327,0.75,179.0
Li2O,mp-1960,0.1274194410784312,4.0,70.095,3,1706.0,0.0,1.0,1.3333333333333333,8.398782930867444,0.6666666666666666,217.0
Na2O,mp-2352,0.0981922619607842,4.0,31.785,3,1423.0,0.0,1.0,1.3333333333333333,13.751317557046228,0.6666666666666666,217.0
MgO,mp-1265,0.129966522700001,4.0,121.396,4,3016.0,0.0,0.0,1.0,9.2213850455102,1.0,182.0
Al2O3,mp-1143,0.1756225127999995,4.0,135.846,5,2266.0,0.0,2.0,3.2,8.74200193995937,3.2,213.0
SiO2,mp-7000,0.140015519509804,4.0,48.697,6,1941.0,0.3435555555555556,2.0,2.6666666666666665,12.625050107639945,2.6666666666666665,215.0
K2O,mp-971,0.0729125119607845,4.0,14.745,3,951.0,0.0,1.0,1.3333333333333333,21.60016275042653,0.6666666666666666,217.0
CaO,mp-2605,0.1250999140000006,4.0,74.217,4,2855.0,0.0,0.0,1.0,13.885533501816138,1.0,213.0
Sc2O3,mp-216,0.2101675023999991,4.0,79.862,5,2700.0,0.0,2.0,4.8,11.993227722986564,1.2,182.0
TiO,mp-1071163,0.287456602533334,4.0,,4,2136.0,0.0,2.0,5.0,10.322965261097524,1.0,182.0
TiO2,mp-390,0.1403354554901952,4.0,51.247,6,2093.0,0.0,2.0,4.0,11.463995375804954,1.3333333333333333,182.0
Ti2O3,mp-458,0.170632126800001,4.0,78.161,6,2099.0,0.0,2.0,4.4,10.37211155286214,1.2,182.0
VO2,mp-541404,0.1398406339215689,4.0,,6,1480.0,0.0,2.0,3.6666666666666665,11.286393262601704,1.3333333333333333,217.0
