material_id,pred_E_per_atom_above_ground_state,System
mp-27785,0.0926126846441423,TiBr2
mp-1207060,0.0871501062782258,TiI2
mp-30034,0.0936296042061847,MgBr2
mp-1178680,0.1601672143888572,ZnO2
mp-9981,0.3022212527368018,Mn2N
mp-571122,0.0877724398076833,FeI2
mp-22877,0.0728165690150371,VCl2
mp-971787,0.083665690683171,VBr2
mp-28116,0.0911473444438416,TiCl2
mp-569610,0.0878444480119119,CoI2
mp-30033,0.0954279109856538,CoBr2
mp-22880,0.0992995380506077,FeBr2
mp-1065933,0.0987320991246902,YI
mp-23229,0.0959419207777215,FeCl2
mp-768262,0.1075184391017899,V3F10
mp-540884,0.0880180879922152,YCl
mp-776470,0.3205658410396777,Hf3N4
mp-27638,0.0875408713993883,NiI2
mp-535,0.248756858541131,Fe4N
mp-1185953,0.1996557073124098,MgS2
mp-27679,0.0885209322693156,LaBr
mp-27772,0.0883122300339548,Nb3I8
mp-27396,0.0891548998286468,NiCl2
mp-1101023,0.0842776915296801,TiS
mp-534,0.3631013535331184,B13N2
mp-1346,0.4006561786588024,B6O
mp-27637,0.0938984844857526,NiBr2
mp-759946,0.2445579777204246,Sc16O15
mp-32584,0.2687478309688825,Ti19N25
mp-1225007,0.2039873755185685,Fe5O8
mp-27929,0.0841810450364882,LaCl
mp-27507,0.0883525974637871,ScCl
mp-27771,0.1051042152709144,Nb3Br8
mp-1094115,0.1477405568497081,Na2O2
mp-556742,0.1850988724441722,GaS
mp-2686,0.1838912608757203,Ca2N
mp-28105,0.2621194356324325,Ni17S18
mp-705519,0.2159391344627592,Ni15O16
mp-28233,0.0825420056970293,MnCl2
mp-277,0.2697699000578203,Zr3N4
mp-20609,0.118224259042834,Cr3O
mp-866083,0.2550358046426205,Zr3N2
mp-1246153,0.238405484978804,Ti3N2
mp-978968,0.2060563909150463,Ti3O2
mp-554201,0.1301090480403217,MoF3
mp-952567,0.2977086902035211,Fe2S3
mp-6949,0.1125688779081963,InF3
mp-28112,0.0919864857064599,In5Cl9
mp-974355,0.210985982415599,Mn2S3
mp-23184,0.0785611441016951,BCl3
mp-23189,0.0826388378707987,BI3
mp-1080204,0.3014503063035109,Mn3N4
mp-23263,0.0940952656357224,LaBr3
mp-1238832,0.0856263283876363,ZnCl3
mp-22896,0.0907230867062013,LaCl3
mp-1080199,0.2814388174805002,V3N4
mp-23225,0.0827301635430015,BBr3
mp-1180281,0.1948847093816091,Mo3O10
mp-31257,0.2138013400415153,Mo15S19
mp-1189335,0.2021981577943181,YO3
mp-1205986,0.2553710597837898,Co3N
mp-2033,0.2482333842834746,Ni3N
mp-32761,0.2061303757290119,SiO
mp-1101229,0.0252408918101463,V2F9
mp-1189035,0.1133462983985323,Na3N
mp-1183990,0.231631819119997,GaO
mp-1004526,0.3214630016738071,WS
mp-1183444,0.1066294728097687,CaBr
mp-1021674,0.0962025864766656,NiCl
mp-22905,0.085724040739889,LiCl
mp-1228138,0.1981428878049546,Al5O8
mp-1009009,0.1203565733756884,LiF
mp-973936,0.0868353017348626,NiI
mp-556853,0.2139116063516813,MnS
mp-1009471,0.3939088330014243,NbN
mp-1315,0.2240281177486929,MgS
mp-20812,0.2813471007441788,InN
mp-23259,0.0886418479002328,LiBr
mp-980194,0.0956911919125885,TiI
mp-1183545,0.1167544077544558,CaF
mp-978928,0.1128969264308992,SnCl
mp-1187728,0.0792680626366226,VI
mp-1330,0.4959260204191064,AlN
mp-22899,0.0854127238545728,LiI
mp-1183702,0.0877213194167601,CrCl
mp-999469,0.2800726473207801,ZnN
mp-1097008,0.1180617282070217,K2O2
mp-685174,0.0941886837732442,In2Br3
mp-1095292,0.0585223620866043,GeF2
mp-1219421,0.1538185546549176,Si3O8
mp-570005,0.0747168313728643,SbBr3
mp-672372,0.0980753497537945,K2S5
mp-561664,0.046705516242057,TeF4
mp-29174,0.0968357029020687,SiCl2
mp-2341,0.1780477422518911,Li3N
mp-1019272,0.3424120280420077,TaN2
mp-19009,0.2234637538380676,NiO
mp-1059765,0.1138853504568804,CoBr
mp-7234,0.4070876345697118,Nb5N6
mp-1642,0.346028622120119,Ta5N6
mp-570722,0.0842786913601243,NbI3
mp-23312,0.088985502384065,MoBr3
mp-570188,0.0825880528245884,ZrI3
mp-23247,0.0914867106828837,ZrBr3
mp-23264,0.0867484612374322,TiI3
mp-568002,0.0814285113727293,HfI3
mp-11801,0.0825091248923472,K3N
mp-571555,0.1001744007663599,InCl
mp-647,0.3050694868169895,NbS
mp-1018716,0.4194494548686014,HfN2
mp-13098,0.2591283916127621,YN
mp-10628,0.2973029111340308,TaS
mp-1206743,0.2914030560209476,HfS
mp-1183572,0.0956521326911129,CaI
mp-1080771,0.0862520780294872,NaCl7
mp-28880,0.1027645940456057,W3Br7
mp-1220361,0.2006863299424133,NbO3
mp-22762,0.4316022468237007,CoN3
mp-754430,0.1845731155738011,Mn7O12
mp-1181293,0.1973385479946154,GaO3
mp-1178988,0.1779344299525692,V4O7
mp-685088,0.0857916694787616,Sc12I25
mp-849537,0.1889708976710495,V6O11
mp-567537,0.0861748163476294,TaI4
mp-556724,0.2027277475380359,Ti7O13
mp-684731,0.2301147659659194,Ti13S24
mp-778663,0.1842818734980631,Ti4O7
mp-705541,0.2449860369313682,V10O9
mp-1022720,0.0928875659870526,Ni6Cl7
mp-1213798,0.2079501643000587,Cr6O11
mp-656884,0.2115310028879317,Ni9O10
mp-32939,0.2321677808068528,Fe7O8
mp-2231,0.1815737988824277,SnS
mp-28601,0.0880396545307594,NbBr5
mp-1147691,0.2238279017775246,Fe2O5
mp-753434,0.0799404792683997,Mn3F10
mp-673657,0.2334097505225747,Ti7S12
mp-705417,0.221394287813735,Fe11O12
mp-27273,0.2028692758558462,Ti9O17
mp-8289,0.1059991703899437,SnF3
mp-1080195,0.2256340504797354,Mo2N3
mp-1226578,0.2454098392323545,Cr19S30
mp-705424,0.2179308068245718,Fe17O18
mp-759504,0.2213219539250681,Fe10O11
mp-766450,0.2020972222241778,Ni6O7
mp-760168,0.0854616100732378,V6F13
mp-1193697,0.136661411480702,Ge2S5
mp-753607,0.077201546015411,Mn7F18
mp-766681,0.207915768155129,Co15O28
mp-705553,0.2208531356810444,Fe23O25
mp-748,0.2029776823618815,Ti5O9
mp-1221945,0.1924364976113666,Mn8O17
