System,material_id,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber,spacegroup_num,crystal_system_int,density,natoms,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,vpa,packing fraction,a,b,c,alpha,beta,gamma
Hf3ZnN,mp-1014252,3.0,93.488,0,2724.0,2.0598400000000003,8.0,5.4,16.1906974833195,0.6,0.0,63.0,5.0,12.355188681833742,10.0,1.9219280948873625,19.219280948873624,0.0722232821135935,1.061082971961589,0.8194417947160161,0.1243806760986279,0.1157691036276579,0.0828340953419937,0.0464885191707214,0.1244920794836174,2.366572831998769,0.2428770573067934,1.7469811542842009,0.4992523012137329,14.0,3.286335345030997,16.528144349410063,0.70488172598416,8.827658,5.882604439999999,3.3174040003836724,106.37765355000002,90.00000000000001,89.99999999999999
Ca2AuN,mp-29175,3.0,29.931,0,1560.0,2.413875,0.0,1.0,19.79572781931226,0.75,31.0,63.0,5.0,5.981052356717778,8.0,2.0,16.0,0.0765288927501561,1.104217467004602,0.8512064510807333,0.1629646772607847,0.1266837067784062,0.0924375376372529,0.0514735963078747,0.1471683377953092,2.6614527121162537,0.3020062960523133,1.4349164082018293,0.2021773212960874,13.5,3.5,20.20679171610088,0.7462143298911279,9.3158189,4.96661,3.5594240010467773,101.013596145,90.00000000000001,89.99999999999999
K2NiP2,mp-9672,3.0,15.124,5,1192.0,0.78,1.0,2.0,24.39804729994642,1.2,227.0,63.0,5.0,2.6508482064086336,10.0,1.9219280948873625,19.219280948873624,0.1002357790839375,1.1382540623751474,0.8469625651745518,0.1851539739206018,0.1357947573491413,0.1361299043775777,0.0584507327884797,0.2273546194587355,3.0179801609523533,0.4188401414911989,1.0629724698148406,0.1294741721039927,13.6,2.8705400188814645,24.911080945390005,0.8661852253406181,7.622695579999999,6.421162000265428,5.611457,114.909556405,90.00000000000001,90.0
KAuSe,mp-9881,4.0,6.658,0,1001.0,0.3551111111111111,1.0,1.3333333333333333,30.06935066132144,0.6666666666666666,215.0,63.0,5.0,5.363414473237227,6.0,1.584962500721156,9.509775004326936,0.0429850959508038,1.0644776439262056,0.9556808434336356,0.1810158403067388,0.1082190485042376,0.1414867750922942,0.0457933221931954,0.0891531335660081,3.380642293830713,0.0834855125380769,1.224621685249646,0.1051174095894536,14.0,0.8164965809277259,32.511073940903714,0.6282870385924463,7.25035,5.24433114,5.24433114,101.97577623,90.0,90.0
LiV2N3,mp-1029338,3.0,83.741,8,1346.0,3.2185,3.0,4.0,10.056508017912805,1.5,35.0,63.0,5.0,4.067270398337852,12.0,1.918295834054489,23.01955000865388,0.0376658313313668,1.0995199930029402,0.9463298232401712,0.1256467978919103,0.0645402505636069,0.087813815925065,0.0181592246211194,0.0559440963155823,2.0063498950034218,0.0536177810837263,1.5380236356590926,0.020461821373419,16.0,3.1622776601683795,10.264153124497913,0.5980860284895593,5.8483495,5.8483495,4.109934,118.8127726,90.0,90.0
BMo2C,mp-4472,2.0,177.423,8,2525.0,1.505,6.0,5.25,10.509030541978191,2.25,63.0,63.0,5.0,8.481290293829561,8.0,2.0,16.0,0.0407481591623844,1.067554966841821,0.952774521304245,0.1201188842009997,0.0805732287962803,0.0918712239328486,0.0261625917961544,0.0838439706316136,2.229074661785448,0.0522229890610929,1.3005725422427843,0.2439403893726286,14.0,2.1213203435596424,10.509030538187956,0.7029501149871312,8.90755537,3.1153799991719664,3.076998,100.0712615,90.00000000000001,89.99999999999999
TiAl2O5,mp-4930,4.0,97.069,6,2118.0,0.0,2.0,3.5,10.139145134685212,2.5,213.0,63.0,5.0,3.609657755363374,16.0,2.25,36.0,0.1008733182133477,1.108186847610543,0.8594796763410688,0.2075029755566566,0.1674593710230133,0.1337963296917414,0.0678457184734841,0.1969651519893164,1.950180888470776,0.0542008653948962,1.6015839952808144,0.1657099087628072,12.0,4.663689526544408,10.455664382969298,0.3871154703149803,9.776637,5.0621387,3.61944400144694,110.94683148999998,90.00000000000001,90.0
MgSeO4,mp-12630,4.0,41.096,8,1144.0,0.2219444444444444,2.0,1.6666666666666667,12.05311248179971,1.6666666666666667,182.0,63.0,5.0,3.6244694521814185,12.0,1.9182958340544896,23.01955000865388,0.1216780862942026,1.1039038932805545,0.7298955065064862,0.2116184360213832,0.176766182694127,0.1577614651778524,0.0699046504484251,0.1994286317735193,1.923586608254636,0.1517858156297956,1.9439792937530147,0.2869169184891491,17.666666666666668,3.4960294939005045,12.771803841283123,0.3148459982711688,6.670713,4.9999992,4.9999992,113.2178775,90.0,90.0
K2AgP,mp-9778,3.0,12.553,4,831.0,0.609375,1.0,1.5,28.125562745379256,0.75,227.0,63.0,5.0,3.0926612326901823,8.0,1.5,12.0,0.0646390959635158,1.064639095963516,0.9336152307431672,0.1522030521519832,0.1078084301646666,0.0920604561558314,0.0476658341685148,0.1353283231756533,3.2336728568897124,0.4580120034507656,1.4589177091688654,0.9780593889518784,13.5,1.5,29.13356639072961,0.9486527464751106,6.30260052,6.30260052,6.050528,104.13337719000002,90.0,90.0
Ca2InN,mp-510086,3.0,31.238,0,1559.0,2.413875,0.0,2.0,22.0994870324958,2.0,86.0,63.0,5.0,3.875289781222832,8.0,2.0,16.0,0.0975886568020194,1.1270630556489474,0.8153945266123951,0.1779090088840925,0.1445412630833889,0.1078539578163812,0.0566960400353956,0.2086344549962976,2.6852713943471884,0.444503681251574,1.4593573842663865,0.2531541535416925,13.5,3.5,22.38675238158752,0.7326534624605348,10.33736409,5.003007,3.514032000937404,99.78592983500002,90.00000000000001,89.99999999999999
